blk_no,street,max_floor_lvl,year_completed,bldg_contract_town,total_dwelling_units,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold
1A,TELOK PAKU RD,5,2015,PRC,0,0,0,0,0,0,0
10A,BOON TIONG RD,40,2014,BM,228,76,152,0,0,0,0
10B,BOON TIONG RD,30,2014,BM,160,28,84,0,0,0,36
11A,BOON TIONG RD,5,2014,BM,0,0,0,0,0,0,0
11B,BOON TIONG RD,1,2015,BM,0,0,0,0,0,0,0
117,TAMPINES ST 11,11,2014,TAP,149,0,0,0,0,0,130
121,EDGEDALE PLAINS,6,2015,PG,0,0,0,0,0,0,0
121A,EDGEDALE PLAINS,17,2015,PG,446,0,0,0,0,0,0
121B,EDGEDALE PLAINS,17,2015,PG,112,0,80,32,0,0,0
138,YUAN CHING RD,7,2014,JW,0,0,0,0,0,0,0
138A,YUAN CHING RD,22,2014,JW,172,21,86,65,0,0,0
138B,YUAN CHING RD,22,2014,JW,170,42,64,64,0,0,0
138C,YUAN CHING RD,22,2014,JW,172,42,65,65,0,0,0
138D,YUAN CHING RD,22,2014,JW,168,40,64,64,0,0,0
139,YUAN CHING RD,1,2014,JW,0,0,0,0,0,0,0
162A,RIVERVALE CRES,18,2015,SK,102,0,68,34,0,0,0
162B,RIVERVALE CRES,18,2015,SK,102,0,68,34,0,0,0
162C,RIVERVALE CRES,18,2015,SK,102,0,34,68,0,0,0
163A,RIVERVALE CRES,18,2015,SK,102,0,34,68,0,0,0
163B,RIVERVALE CRES,18,2015,SK,68,0,34,34,0,0,0
163C,RIVERVALE CRES,18,2015,SK,102,34,68,0,0,0,0
164,RIVERVALE CRES,7,2015,SK,0,0,0,0,0,0,0
164A,RIVERVALE CRES,18,2015,SK,102,0,51,51,0,0,0
164B,RIVERVALE CRES,18,2015,SK,102,68,34,0,0,0,0
164C,RIVERVALE CRES,18,2015,SK,102,0,34,68,0,0,0
